Summary,Description,Start Date,Due Date,Epic Name,Labels
"[Rangers vs. Yankees VIP] Phase 2: Theme & Audience","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-02-16,2026-03-02,"Rangers vs. Yankees VIP",event-marketing
"[Rangers vs. Yankees VIP] Phase 3: Systems & Planning","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-03-16,2026-03-30,"Rangers vs. Yankees VIP",event-marketing
"[Rangers vs. Yankees VIP] Phase 4: Final Prep","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-04-13,2026-04-26,"Rangers vs. Yankees VIP",event-marketing
"[Rangers vs. Yankees VIP] Phase 5: Execution","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-04-27,2026-04-29,"Rangers vs. Yankees VIP",event-marketing
"[Rangers vs. Yankees VIP] Phase 6: Follow-up","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-04-30,2026-05-06,"Rangers vs. Yankees VIP",event-marketing
"[Rangers vs. Yankees VIP] Phase 7: ROI Analysis","Event: Rangers vs. Yankees VIP\nLocation: Dallas, TX\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-05-29,2026-05-29,"Rangers vs. Yankees VIP",event-marketing
"[America Reads the Bible] Phase 1: Mission & Strategy","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Success targets set, Faith alignment approved",2025-12-29,2026-01-26,"America Reads the Bible",event-marketing
"[America Reads the Bible] Phase 2: Theme & Audience","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 2: Theme & Audience\n\nKey Deliverables:\nMessaging aligned, Target personas defined, Qualification criteria finalized",2026-02-09,2026-02-23,"America Reads the Bible",event-marketing
"[America Reads the Bible] Phase 3: Systems & Planning","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture configured, Run-of-show coordination",2026-03-09,2026-03-23,"America Reads the Bible",event-marketing
"[America Reads the Bible] Phase 4: Final Prep","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 4: Final Prep\n\nKey Deliverables:\nStaffing completed, On-site owner assigned",2026-04-06,2026-04-19,"America Reads the Bible",event-marketing
"[America Reads the Bible] Phase 5: Execution","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-04-20,2026-04-21,"America Reads the Bible",event-marketing
"[America Reads the Bible] Phase 6: Follow-up","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture activated, Leads uploaded to CRM",2026-04-22,2026-04-28,"America Reads the Bible",event-marketing
"[America Reads the Bible] Phase 7: ROI Analysis","Event: America Reads the Bible\nLocation: Washington, D.C.\nPhase 7: ROI Analysis\n\nKey Deliverables:\nFunnel report delivered",2026-05-21,2026-05-21,"America Reads the Bible",event-marketing
"[Pastor Retreat 1] Phase 1: Mission & Strategy","Event: Pastor Retreat 1\nLocation: TBD\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2025-12-31,2026-01-28,"Pastor Retreat 1",event-marketing
"[Pastor Retreat 1] Phase 2: Theme & Audience","Event: Pastor Retreat 1\nLocation: TBD\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-02-11,2026-02-25,"Pastor Retreat 1",event-marketing
"[Pastor Retreat 1] Phase 3: Systems & Planning","Event: Pastor Retreat 1\nLocation: TBD\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-03-11,2026-03-25,"Pastor Retreat 1",event-marketing
"[Pastor Retreat 1] Phase 4: Final Prep","Event: Pastor Retreat 1\nLocation: TBD\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-04-08,2026-04-21,"Pastor Retreat 1",event-marketing
"[Pastor Retreat 1] Phase 5: Execution","Event: Pastor Retreat 1\nLocation: TBD\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-04-22,2026-04-24,"Pastor Retreat 1",event-marketing
"[Pastor Retreat 1] Phase 6: Follow-up","Event: Pastor Retreat 1\nLocation: TBD\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-04-25,2026-05-01,"Pastor Retreat 1",event-marketing
"[Pastor Retreat 1] Phase 7: ROI Analysis","Event: Pastor Retreat 1\nLocation: TBD\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-05-24,2026-05-24,"Pastor Retreat 1",event-marketing
"[MegaMetro] Phase 1: Mission & Strategy","Event: MegaMetro\nLocation: Boston, MA\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Success targets set, Faith alignment approved",2026-01-04,2026-02-01,"MegaMetro",event-marketing
"[MegaMetro] Phase 2: Theme & Audience","Event: MegaMetro\nLocation: Boston, MA\nPhase 2: Theme & Audience\n\nKey Deliverables:\nMessaging aligned, Target personas defined, Qualification criteria finalized",2026-02-15,2026-03-01,"MegaMetro",event-marketing
"[MegaMetro] Phase 3: Systems & Planning","Event: MegaMetro\nLocation: Boston, MA\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture configured, Run-of-show coordination",2026-03-15,2026-03-29,"MegaMetro",event-marketing
"[MegaMetro] Phase 4: Final Prep","Event: MegaMetro\nLocation: Boston, MA\nPhase 4: Final Prep\n\nKey Deliverables:\nStaffing completed, On-site owner assigned",2026-04-12,2026-04-25,"MegaMetro",event-marketing
"[MegaMetro] Phase 5: Execution","Event: MegaMetro\nLocation: Boston, MA\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-04-26,2026-04-28,"MegaMetro",event-marketing
"[MegaMetro] Phase 6: Follow-up","Event: MegaMetro\nLocation: Boston, MA\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture activated, Leads uploaded to CRM",2026-04-29,2026-05-05,"MegaMetro",event-marketing
"[MegaMetro] Phase 7: ROI Analysis","Event: MegaMetro\nLocation: Boston, MA\nPhase 7: ROI Analysis\n\nKey Deliverables:\nFunnel report delivered",2026-05-28,2026-05-28,"MegaMetro",event-marketing
"[Outcomes Conference] Phase 1: Mission & Strategy","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nPrimary objective defined, Meeting & deal targets set, Speaking CTA defined, Faith alignment approved",2026-01-06,2026-02-03,"Outcomes Conference",event-marketing
"[Outcomes Conference] Phase 2: Theme & Audience","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 2: Theme & Audience\n\nKey Deliverables:\nBooth & stage messaging aligned, Target personas defined, Booth visuals/slides/handouts approved",2026-02-17,2026-03-03,"Outcomes Conference",event-marketing
"[Outcomes Conference] Phase 3: Systems & Planning","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 3: Systems & Planning\n\nKey Deliverables:\nLead capture & CRM tested, Run-of-show coordination complete",2026-03-17,2026-03-31,"Outcomes Conference",event-marketing
"[Outcomes Conference] Phase 4: Final Prep","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 4: Final Prep\n\nKey Deliverables:\nBooth experience trained, Meeting booking mechanism live, Staffing completed, On-site owner assigned",2026-04-14,2026-04-27,"Outcomes Conference",event-marketing
"[Outcomes Conference] Phase 5: Execution","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 5: Execution\n\nKey Deliverables:\nDaily performance check-ins completed",2026-04-28,2026-04-30,"Outcomes Conference",event-marketing
"[Outcomes Conference] Phase 6: Follow-up","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event nurture sequence activated, Leads uploaded to CRM",2026-05-01,2026-05-07,"Outcomes Conference",event-marketing
"[Outcomes Conference] Phase 7: ROI Analysis","Event: Outcomes Conference\nLocation: Dallas, TX\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day funnel report delivered",2026-05-30,2026-05-30,"Outcomes Conference",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 1: Mission & Strategy","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-01-23,2026-02-20,"VIP Dinner + Astros vs Rangers",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 2: Theme & Audience","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-03-06,2026-03-20,"VIP Dinner + Astros vs Rangers",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 3: Systems & Planning","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-04-03,2026-04-17,"VIP Dinner + Astros vs Rangers",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 4: Final Prep","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-05-01,2026-05-14,"VIP Dinner + Astros vs Rangers",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 5: Execution","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-05-15,2026-05-16,"VIP Dinner + Astros vs Rangers",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 6: Follow-up","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-05-17,2026-05-23,"VIP Dinner + Astros vs Rangers",event-marketing
"[VIP Dinner + Astros vs Rangers] Phase 7: ROI Analysis","Event: VIP Dinner + Astros vs Rangers\nLocation: Houston, TX\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-06-15,2026-06-15,"VIP Dinner + Astros vs Rangers",event-marketing
"[America Prays National Mall] Phase 1: Mission & Strategy","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-01-26,2026-02-23,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 2: Theme & Audience","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-03-09,2026-03-23,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 3: Systems & Planning","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-04-06,2026-04-20,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 4: Final Prep","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-05-04,2026-05-17,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 5: Execution","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-05-18,2026-05-18,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 6: Follow-up","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-05-19,2026-05-25,"America Prays National Mall",event-marketing
"[America Prays National Mall] Phase 7: ROI Analysis","Event: America Prays National Mall\nLocation: Philadelphia, PA\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-06-17,2026-06-17,"America Prays National Mall",event-marketing
"[Rangers vs Padres Fathers Day] Phase 1: Mission & Strategy","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-02-27,2026-03-27,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 2: Theme & Audience","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-04-10,2026-04-24,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 3: Systems & Planning","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-05-08,2026-05-22,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 4: Final Prep","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-06-05,2026-06-18,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 5: Execution","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-19,2026-06-21,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 6: Follow-up","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-06-22,2026-06-28,"Rangers vs Padres Fathers Day",event-marketing
"[Rangers vs Padres Fathers Day] Phase 7: ROI Analysis","Event: Rangers vs Padres Fathers Day\nLocation: Dallas, TX\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-07-21,2026-07-21,"Rangers vs Padres Fathers Day",event-marketing
"[SBC VIP Event] Phase 1: Mission & Strategy","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nEvent purpose approved, Success targets set, Budget & ROI approved, Faith guardrails documented",2026-02-14,2026-03-14,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 2: Theme & Audience","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 2: Theme & Audience\n\nKey Deliverables:\nVisual identity finalized, Messaging framework aligned, ICP list finalized, Invitation strategy approved",2026-03-28,2026-04-11,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 3: Systems & Planning","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 3: Systems & Planning\n\nKey Deliverables:\nPlatforms configured (HubSpot, analytics), Critical path & risk register approved",2026-04-25,2026-05-09,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 4: Final Prep","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 4: Final Prep\n\nKey Deliverables:\nOn-site experience flow finalized, Staffing plan locked, Strategic/Creative/Ops approvals complete",2026-05-23,2026-06-05,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 5: Execution","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-06,2026-06-08,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 6: Follow-up","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 6: Follow-up\n\nKey Deliverables:\n90-day nurture plan activated, Thank you emails sent, Leads uploaded to CRM",2026-06-09,2026-06-15,"SBC VIP Event",event-marketing
"[SBC VIP Event] Phase 7: ROI Analysis","Event: SBC VIP Event\nLocation: Orlando, FL\nPhase 7: ROI Analysis\n\nKey Deliverables:\n30/60/90-day performance report delivered",2026-07-08,2026-07-08,"SBC VIP Event",event-marketing
"[BCI Conference] Phase 1: Mission & Strategy","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 1: Mission & Strategy\n\nKey Deliverables:\nSponsorship objective defined, ROI threshold approved, Faith alignment confirmed, Owner assigned",2026-02-27,2026-03-27,"BCI Conference",event-marketing
"[BCI Conference] Phase 2: Theme & Audience","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 2: Theme & Audience\n\nKey Deliverables:\nBrand representation approved, Messaging adapted to host tone, Expected reach quantified",2026-04-10,2026-04-24,"BCI Conference",event-marketing
"[BCI Conference] Phase 3: Systems & Planning","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 3: Systems & Planning\n\nKey Deliverables:\nActivation plan finalized, CTA or lead capture defined, Pre/post touchpoint secured",2026-05-08,2026-05-22,"BCI Conference",event-marketing
"[BCI Conference] Phase 4: Final Prep","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 4: Final Prep\n\nKey Deliverables:\nSponsorship assets delivered, Attribution & tracking confirmed",2026-06-05,2026-06-18,"BCI Conference",event-marketing
"[BCI Conference] Phase 5: Execution","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 5: Execution\n\nKey Deliverables:\nEvent execution",2026-06-19,2026-06-20,"BCI Conference",event-marketing
"[BCI Conference] Phase 6: Follow-up","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 6: Follow-up\n\nKey Deliverables:\nPost-event follow-up activated",2026-06-21,2026-06-27,"BCI Conference",event-marketing
"[BCI Conference] Phase 7: ROI Analysis","Event: BCI Conference\nLocation: Atlanta, GA\nPhase 7: ROI Analysis\n\nKey Deliverables:\nPost-event ROI summary delivered",2026-07-20,2026-07-20,"BCI Conference",event-marketing
